"direccion_completo","calle_colonia","cp","tipo","delegacion","ciudad","precio","ID","lon","lat","descripcion","caracteristicas","amenidades","inf_colonia","fila1","fila2","moneda","RECAMARAS","BANOS","ESTACIONAMIENTOS","No_de_pisos","Edad_inmueble","AREA_TERRENO","AREA_CONSTRUIDA","Tamano_jardin","Jardin","NA","Cisterna","Gas Natural","Seguridad privada","Zona privada","Alberca","Telefonía","Mascotas","Lavandería","Gimnasio","Terraza","Cuarto de servicio","Calefacción","Chimenea","CUENTA CATASTRAL 35425130 ","USO DE SUELO Habitacional. ","SUPERFICIE DE TERRENO 962.0 m²","ÁREA CONSTRUIDA 577 m²","Sótano","CUENTA CATASTRAL 03829833 ","USO DE SUELO Habitacional con Comercio  ","SUPERFICIE DE TERRENO 138.0 m²","ÁREA CONSTRUIDA 330 m²","CUENTA CATASTRAL 03533508 ","SUPERFICIE DE TERRENO 9931.0 m²","CUENTA CATASTRAL 04112001 ","USO DE SUELO Habitacional ","SUPERFICIE DE TERRENO 172.0 m²","ÁREA CONSTRUIDA 413 m²","Amueblado","CUENTA CATASTRAL 02535601 ","SUPERFICIE DE TERRENO 164.0 m²","ÁREA CONSTRUIDA 393 m²","Elevador","CUENTA CATASTRAL 06161507 ","USO DE SUELO Habitacional Mixto. ","SUPERFICIE DE TERRENO 10470.0 m²","ÁREA CONSTRUIDA 29315 m²","Aire acondicionado","CUENTA CATASTRAL 32516917 ","SUPERFICIE DE TERRENO 617.0 m²","ÁREA CONSTRUIDA 1974 m²","CUENTA CATASTRAL 02920403 ","SUPERFICIE DE TERRENO 1982.0 m²","CUENTA CATASTRAL 03203402 ","SUPERFICIE DE TERRENO 199.0 m²","ÁREA CONSTRUIDA 418 m²","CUENTA CATASTRAL 03917405 ","USO DE SUELO Centro de Barrio ","SUPERFICIE DE TERRENO 719.0 m²","ÁREA CONSTRUIDA 1725 m²","CUENTA CATASTRAL 00808712 ","USO DE SUELO Habitacional con Comercio en P. B. ","SUPERFICIE DE TERRENO 128.0 m²","ÁREA CONSTRUIDA 409 m²","Circuito Cerrado de TV","Planta de emergencia","Fibra óptica","Vigilancia","Tiene oficina","CUENTA CATASTRAL 02801738 ","SUPERFICIE DE TERRENO 61.0 m²","ÁREA CONSTRUIDA 127 m²","CUENTA CATASTRAL 02919002 ","SUPERFICIE DE TERRENO 402.0 m²","Urbanizado","zona","Precio m2"
"Ignacio Allende, Colonia San Joaquín, C.P. 11260 ","Ignacio Allende","11260","Bodega comercial","Miguel Hidalgo","DF / CDMX","27,000,000 ","28633194","-99.2067915000","19.4544260000","Oportunidad única: bodega en ignacio allende a solo 5 minutos de polanco. esta propiedad cuenta con una superficie de terreno de 1,110 m² y una construcción de 1,578 m², ideal para tus necesidades logísticas o comerciales. ¡no pierdas la ocasión de establecer tu negocio en una ubicación estratégica! * el precio y disponibilidad está sujeto a cambios sin previo aviso * * el precio anunciado es más gastos de escrituración e impuestos * * los muebles y las decoraciones son soló con fines ilustrativos, no van incluidos en el precio *.  id: eb-re9812","BAÑOS0 , Edad del inmuebleNuevo , ÁREA TERRENO1110 m2, ÁREA CONSTRUIDA1578 m2, NA, NA, NA, NA, NA","NA, NA, NA, NA, NA","NA, NA","NA","NA","MXN",NA,"0",NA,NA,NA,"1110","1578",NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA, NA","NA, NA"
"ADOLFO PRIETO, Colonia Tlacoquemecatl, C.P. 03200 ","ADOLFO PRIETO","03200","Casa en condominio","Benito Juárez","DF / CDMX","9,500,000 ","28772737","-99.1746778","19.3768213","Townhouse
colonia del valle
- 3 recámaras
- 4 baños
- sala de tv
- roof garden 
- 3 cajones de estacionamiento
- vigilancia 24/7
- cuarto de servicio
- bodega","RECÁMARAS3 , BAÑOS4 , ESTACIONAMIENTOS3 , No. de pisos4 , Edad del inmueble1 años, ÁREA CONSTRUIDA165 m2, Número de casas1 , NA, NA","Cisterna, Gas Natural, Seguridad privada, NA, NA","NA, NA","NA","NA","MXN","3","4","3","4","1",NA,"165",NA,NA,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA, NA","NA, NA"
"Ahuatenco #145, Colonia Cuajimalpa, C.P. 05000 ","Ahuatenco #145","05000","Casa en condominio","Cuajimalpa de Morelos","DF / CDMX","9,800,000 ","28649315","-99.3026280594162","19.36398508929875","Cerca de santa fe. amplia casa en condominio en el condominio las vistas en cuajimalpa. acceso controlado, tranquilidad para tu familia, juegos infantiles, ambiente y paisajes naturales ya que cuentas con amplias áreas verdes, pista para correr, canchas de futbol, padel y de tenis, cómodo salón de fiestas, estacionamiento de visitas y mas. realmente respirarás aire fresco. planta alta: 3 recamaras con vestidor y baño, sala de tv, closet de blancos. planta baja: sala, comedor, moderna cocina con isla, estudio/oficina, baño de visitas, cuarto de lavado, cuarto de servicio con baño y patio de servicio, cochera y amplio jardín.","RECÁMARAS3 , BAÑOS4 , ESTACIONAMIENTOS2 , No. de pisos2 , Edad del inmueble7 años, ÁREA TERRENO353 m2, ÁREA CONSTRUIDA340 m2, Número de casas50 , NA","Cisterna, Zona privada, Alberca, Telefonía, Mascotas","NA, NA","JOSE","ARIAS","MXN","3","4","2","2","7","353","340",NA,NA,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA, NA","NA, NA"
"AV TOLUCA #411Int. 59, Colonia Olivar de los Padres, C.P. 01780 ","AV TOLUCA #411Int. 59","01780","Casa en condominio","Álvaro Obregón","DF / CDMX","7,450,000 ","27804669","-99.2189838","19.3392293","Preciosa casa remodelada hace 8 años, muy completa, en fraccionamiento cerrado con vigilancia las 24 hrs con una sola entrada lo que asegura su seguridad, con 4000 m2 de areas comunes, varios jardines, con juegos infantiles, area para eventos sociales, cancha de mini futbol, cancha de basketball, area para que los perros corran libremente como en el campo. la casa tiene tres niveles, en la planta baja cuenta con un recibidor muy amplio, medio baño de visitas, cocina integral con antecomedor, despensa, un patio y bodega. sala, comedor, cava para vinos. en el siguiente nivel se encuentran las 3 recámaras, la principal con vestidor walking closet, baño, y las otras dos recámaras comparten un baño. alli encontramos asimismo, una sala de tv. en la tercera planta se encuentra un estudio que da hacia el frente de la propiedad, y un roof garden con puertas corredizas de par en par que da a una terraza, bar, bodega, y medio baño. area de servicio, cuarto de servicio de excelente tamaño. la casa cuenta con paneles solares y dos lugares de estacionamiento. el fraccionamiento cuenta con lugares de estacionamiento para visitas. la propiedad se encuentra apenas subiendo por av. toluca.","RECÁMARAS3 , BAÑOS3 , ESTACIONAMIENTOS2 , No. de pisos3 , Edad del inmueble13 años, ÁREA TERRENO112 m2, ÁREA CONSTRUIDA230 m2, Número de casas10 , NA","Cisterna, Telefonía, Lavandería, Seguridad privada, NA","NA, NA","Cecilia","Wiechers Rivero","MXN","3","3","2","3","13","112","230",NA,NA,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA, NA","NA, NA"
"Avenida Jesús del Monte 300, Colonia Jesús del Monte, C.P. 05260 ","Avenida Jesús del Monte 300","05260","Casa en condominio","Cuajimalpa de Morelos","DF / CDMX","4,250,000 ","28660612","-99.2934588","19.3667284","¡gran oportunidad de compra!

se vende una hermosa casa en condominio, ubicada en una exclusiva privada. con 137 m² distribuidos en dos niveles, esta propiedad ofrece comodidad y estilo.

planta baja:
estacionamiento: cubierto para un auto y descubierto para otro.
estancia y comedor: amplios y luminosos.
cocina con desayunador: moderna y funcional.
patio posterior: perfecto para relajarse.
cuarto de lavado y cuarto de servicio.
planta alta:
hall distribuidor.
dos recámaras sencillas y un baño completo.
recámara principal con vestidor y baño completo.
conjunto residencial:
exclusivo, con solo 7 casas. construcción de alta calidad con muros de tabique de barro rojo y tuberías de cobre ocultas.

¡agenda una cita para conocerla y descubre tu futura casa! contáctanos hoy mismo.","RECÁMARAS3 , BAÑOS3 , ESTACIONAMIENTOS2 , No. de pisos1 , Edad del inmueble16 años, ÁREA TERRENO137 m2, ÁREA CONSTRUIDA165 m2, NA, NA","Mascotas, Lavandería, NA, NA, NA","NA, NA","NA","NA","MXN","3","3","2","1","16","137","165",NA,NA,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA, NA","NA, NA"
"Bosque de Mimosas 100, Colonia Bosque de las Lomas, C.P. 11700 ","Bosque de Mimosas 100","11700","Casa en condominio","Miguel Hidalgo","DF / CDMX"," 5,647,058 ","28662393","-99.1998227","19.4208979","Se vende casa en condominio en bosques de las lomas, ciudad de méxico, con una superficie de terreno de 750 m2 y una construcción de 779 m2 distribuida en 2 niveles. 
la propiedad cuenta con 4 recámaras, la principal con tina, 3 vestidores y 4 closets, así como 6 baños y 2 medios baños. además, ofrece sala, comedor, desayunador, cocina integral, cuarto de tv, 
2 jardines, 3 bodegas, 2 terrazas, lavandería, y 3 cuartos de servicio. la seguridad está garantizada con vigilancia las 24 horas. mantenimiento de $1,200. la propiedad se encuentra en excelentes condiciones y fue construida en 1983. cuenta con estacionamiento techado para 8 autos, cisterna, alberca, gimnasio y todas las comodidades necesarias para una vida confortable.","RECÁMARAS4 , BAÑOS6 , ESTACIONAMIENTOS8 , No. de pisos1 , Edad del inmueble41 años, ÁREA TERRENO779 m2, ÁREA CONSTRUIDA757 m2, NA, NA","Alberca, Gimnasio, Terraza, NA, NA","NA, NA","NA","NA","USD","4","6","8","1","41","779","757",NA,NA,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA, NA","NA, NA"
"Calle Latinos 82 #82, Colonia Moderna, C.P. 03510 ","Calle Latinos 82 #82","03510","Casa en condominio","Benito Juárez","DF / CDMX","6,500,000 ","28799275","-99.13281650185242","19.39604481957482","Town house  170 m2 en 3 niveles 
en calle tranquila dentro de la colonia moderna, cerca de jardines, mercado, escuelas y vías de comunicación : metrobús, metro con la seguridad de la benito juárez.  
2 lugares de estacionamiento independientes que no se estorban con nadie ni entre sí.  en primer nivel está la sala - comedor con cocina abierta y barra desayunadora totalmente equipada y medio baño de visitas. 
en el segundo nivel se encuentran 2 recámaras, la principal con baño completo y la segunda recámara preparada como un gran vestidor.
en el tercer nivel otras 2 habitaciones, la principal con vestidor, baño completo y balcón. cuarta recámara con closet independiente. 
arriba esta el -roof garden privado con barra y contrabarra, así como asador. techado y cortinas - ventanal en todo el nivel.  
 excelentes acabados","RECÁMARAS4 , BAÑOS2 , ESTACIONAMIENTOS2 , No. de pisos3 , Edad del inmueble7 años, ÁREA CONSTRUIDA170 m2, Tamaño del jardin50 m2, Jardín1 , Número de casas4 ","Cisterna, Zona privada, Gas Natural, Terraza, NA","NA, NA","Inmobiliaria de Jairo Ramirez","Ramírez","MXN","4","2","2","3","7",NA,"170","50","1",1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA, NA","NA, NA"
"Cerrada de Bezares 100, Colonia Lomas de Bezares, C.P. 11910 ","Cerrada de Bezares 100","11910","Casa en condominio","Miguel Hidalgo","DF / CDMX","8,900,000 ","28661094","-99.2439166","19.3909815","La propiedad en venta se encuentra ubicada en la cerrada de bezares, en la exclusiva zona de lomas de bezares, en la ciudad de méxico. construida en el año 2008, la propiedad cuenta con un total de 3 suites, 2 baños completos y 1 medio baño. además, dispone de 2 lugares de estacionamiento. con una superficie total de 190 m2, esta propiedad ofrece amplitud y comodidad. dentro del condominio tiene una ubicación privilegiada que da acceso inmediato al jardín común. la seguridad 24 horas brinda tranquilidad a sus residentes. condominio de 10 casas. con una ubicación privilegiada y cercana a servicios y comercios, esta propiedad representa una excelente oportunidad de inversión en el mercado inmobiliario mexicano.","RECÁMARAS3 , BAÑOS2 , ESTACIONAMIENTOS2 , No. de pisos1 , Edad del inmueble16 años, ÁREA TERRENO190 m2, ÁREA CONSTRUIDA190 m2, Tamaño del jardin41 m2, NA","NA, NA, NA, NA, NA","NA, NA","NA","NA","MXN","3","2","2","1","16","190","190","41",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA, NA","NA, NA"
"Cerrada del Olivarito 0 - 0, Colonia Olivar de los Padres, C.P. 01780 ","Cerrada del Olivarito 0 - 0","01780","Casa en condominio","Álvaro Obregón","DF / CDMX","16,500,000 ","28661483","-99.2189838","19.3392293","Hermosa casa en un exclusivo condominio horizontal de tan solo 14 casas rodeada de áreas verdes. la casa cuenta con 490 m2 de construcción y 910 m2 de terreno divididos en dos pisos. consta de cuatro amplías recámaras con baño completo, la principal con un amplio vestidor. cuenta con sala comedor, ante comedor, cocina, área de servicio, lavandería, patio interior y jardín en la parte de en frente. muy soleada y con gran orientación. el condominio tiene salón de fiestas y cancha de basquetball. gran opción! yn","RECÁMARAS5 , BAÑOS4 , ESTACIONAMIENTOS6 , No. de pisos1 , Edad del inmueble32 años, ÁREA TERRENO910 m2, ÁREA CONSTRUIDA490 m2, NA, NA","NA, NA, NA, NA, NA","NA, NA","NA","NA","MXN","5","4","6","1","32","910","490",NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA, NA","NA, NA"
"Desierto de los Leones , Colonia Lomas de los Angeles del Pueblo Tetelpan, C.P. 01790 ","Desierto de los Leones ","01790","Casa en condominio","Álvaro Obregón","DF / CDMX","9,500,000 ","28661484","-99.2609416","19.3239228","Excelente casa en privada a estrenar! este hermoso inmueble está dentro de un condominio muy tranquilo de 23 casas. está distribuido en 3 niveles. consta de 3 recamaras cada una con su baño, la recámara principal tiene un vestidor de muy buen tamaño. con acabados de lujo, dos estacionamientos techados y un amplio y hermoso roof garden. y 	“el precio mostrado no incluye el impuesto que genera la compraventa, así como gastos notariales y avalúos”.","RECÁMARAS3 , BAÑOS3 , ESTACIONAMIENTOS2 , No. de pisos1 , Edad del inmueble3 años, ÁREA TERRENO134 m2, ÁREA CONSTRUIDA255 m2, NA, NA","Terraza, NA, NA, NA, NA","NA, NA","NA","NA","MXN","3","3","2","1","3","134","255",NA,NA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA, NA","NA, NA"
"GUADALUPE I RAMIREZ #5693, Colonia La Noria, C.P. 16030 ","GUADALUPE I RAMIREZ #5693","16030","Casa en condominio","Xochimilco","DF / CDMX","5,600,000 ","28251712","-99.12908707423553","19.269396837062338","Linda casa en condominio de 16 casas, con vigilancia 24 horas. la casa desarrollada en dos niveles cuenta con hall de acceso con baño de visitas, amplia estancia con salida a un lindo patio, ideal para tus reuniones, este patio cuenta con un estudio techado el cual puedes convertir en despacho o cuarto de juegos, cocina con area de lavado; en el segundo nivel tenemos sala tv o tercer recamara, baño completo con cancel de cristal templado, recamara secundaria con closet y recamara principal con vestidor y baño tambien con cancel de cristal templado, esta casa aplica para el programa de jornada notarial por lo que puedes tener un ahorro importante en el pago de impuestos por adquisición. no dejes pasar esta oportunidad.","RECÁMARAS2 , BAÑOS2 , ESTACIONAMIENTOS3 , No. de pisos2 , Edad del inmueble10 años, ÁREA TERRENO131 m2, ÁREA CONSTRUIDA133 m2, Número de casas16 , NA","Cisterna, Mascotas, Lavandería, Seguridad privada, NA","NA, NA","REDHABITAT","INMOBILIARIA","MXN","2","2","3","2","10","131","133",NA,NA,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA, NA","NA, NA"
"La Castañeda, Colonia Mixcoac, C.P. 03910 ","La Castañeda","03910","Casa en condominio","Benito Juárez","DF / CDMX","6,490,000 ","28756873","-99.1905974","19.3723335","Excelente casa en venta en un condominio de 5 casas, distribuida en 3 niveles.

p sala-comedor con un mueble empotrado con luces que le da un toque especial,cocina equipada, medio baño para visitas y una bodega.

primer nivel. recámara principal con vestidor y baño con salida a un pequeño balcón y sala de tv.

segundo nivel. 1 recámara con salida a pequeño balcón, closet y baño, segunda recámara con vestidor y baño

roof garden techado con cancel y cristal templado, decorado con follaje artificial, 1 medio baño, jacuzzi, barra de granito, asador, 2 tarjas, y área de lavado.

la casa cuenta con 2 lugares de estacionamiento fijos y amplios sin estorbarse, el condominio cuenta con seguridad de lunes a viernes 12x12, 1 elevador, cascada en área común, gas natural y calentadores solares, mantenimiento de $3,100 mensuales, muy buena ubicación a 3 calles del metro mixcoac, se aceptan créditos bancarios.","RECÁMARAS3 , BAÑOS3 , ESTACIONAMIENTOS2 , No. de pisos3 , Edad del inmueble11 años, ÁREA TERRENO142 m2, ÁREA CONSTRUIDA142 m2, Número de casas5 , NA","Cisterna, Zona privada, Gas Natural, Seguridad privada, NA","NA, NA","NA","NA","MXN","3","3","2","3","11","142","142",NA,NA,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA, NA","NA, NA"
"LA JOYA #233Int. 4, Colonia Valle Escondido, C.P. 14600 ","LA JOYA #233Int. 4","14600","Casa en condominio","Tlalpan","DF / CDMX","5,750,000 ","27285281","-99.1421561","19.2790394","Casa en condominio horizontal con acceso controlado y vigilancia 24/7, con enorme jardín comunal, con grandes espacios, terraza, gimnasio, sala de t, estudio, cochera para 4 autos, con excelentes vías de comunicación, cerca de escuelas y hospitales, ¡conocela! te va a encantar.","RECÁMARAS3 , BAÑOS3 , ESTACIONAMIENTOS4 , No. de pisos2 , Edad del inmuebleN/D , ÁREA TERRENO267 m2, ÁREA CONSTRUIDA236 m2, Número de casas16 , NA","Cisterna, Zona privada, Mascotas, Terraza, Seguridad privada","NA, NA","LUXUS","HAUS","MXN","3","3","4","2","N/D","267","236",NA,NA,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA, NA","NA, NA"
"Paseo de las lilas #15, Colonia Bosques de las Lomas, C.P. 05120 ","Paseo de las lilas #15","05120","Casa en condominio","Cuajimalpa de Morelos","DF / CDMX","28,000,000 ","26639651","-99.24604172189026","19.393786217428797","Estupenda casa en el corazón de bosques de las lomas con amplios e iluminados espacios, rodeada de bosque y naturaleza en un predio de 10 mil metros en exclusiva privada de solo 6 casas.
con una impresionante entrada al lobby de distribución a dos plantas, encontramos una propiedad de finos acabados, pisos de madera todo en óptimo estado de conservación.
en la planta baja se aprecia la estancia sala-comedor espectacular con gran ventanal al jardín privado, antecomedor en la terraza, amplia cocina, área de servicio y de lavado.
en la misma planta cuenta además con sala de tv/social, bar y pequeña cava, filtro de luz natural de doble altura, una oficina o habitación para gimnasio y medio baño de visitas.
en el piso superior, sala de tv, dos recamaras secundarias de doble altura, baño y vestidor cada una.
la recamara principal muy amplia, con techo de doble altura, baño, vestidor y jacuzzi.
la casa cuenta además con calefacción, paneles solares, espacio de estacionamiento hasta para 9 autos.","RECÁMARAS3 , BAÑOS3 , ESTACIONAMIENTOS6 , No. de pisos2 , Edad del inmueble10 años, ÁREA TERRENO400 m2, ÁREA CONSTRUIDA450 m2, Número de departamentos1 , Número de casas6 ","Cisterna, Zona privada, Alberca, Gimnasio, Mascotas","NA, NA","Silvia","de la Garza","MXN","3","3","6","2","10","400","450",NA,NA,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA, NA","NA, NA"
"20 de noviembre #69, Colonia Carlos Hank Gonzalez, C.P. 09700 ","20 de noviembre #69","09700","Casa","Iztapalapa","DF / CDMX","2,870,000 ","28723724","-99.0473860000","19.3316120000","Ref: nex-212606 hermosa casa en venta ubicada en la zona de carlos hank gonzalez, iztapalapa, ciudad de méxico. esta propiedad cuenta con 4 amplias recamaras, 3 baños completos y 2 medios baños, con un total de 251 m2 de construcción. el uso de suelo es residencial, lo que la convierte en una excelente opción para aquellas familias que buscan un hogar cómodo y seguro. la casa está situada en una zona tranquila , ideal para quienes valoran la privacidad y la seguridad. entre las zonas de interés cercanas se encuentran el centro comercial plaza ermita, donde se puede disfrutar de diversas tiendas, restaurantes y entretenimiento. también está cerca del parque cuitláhuac, perfecto para disfrutar de actividades al aire libre en familia. por último, se destaca la cercanía al hospital general de iztapalapa, brindando tranquilidad en caso de emergencias médicas. en cuanto a las vías de acceso, la propiedad se encuentra cerca de importantes avenidas como ermita iztapalapa y canal de garay, lo que facilita la movilidad dentro de la ciudad. además, la estación de metro uam-i y diversas rutas de transporte público cercanas permiten un fácil desplazamiento a diferentes puntos de la ciudad de méxico. también se encuentra cercana a ciclovías que fomentan el transporte sustentable en la zona.","RECÁMARAS4 , BAÑOS3 , ESTACIONAMIENTOS2 , Edad del inmueble39 años, ÁREA TERRENO120 m2, ÁREA CONSTRUIDA251 m2, NA, NA, NA","NA, NA, NA, NA, NA","Precio por/m2 promedio en Carlos Hank Gonzalez$ 15.47 mil MN, Precio promedioEste porcentaje muestra el valor de la propiedad con respecto a la tendencia de los precios de la zona.Aunque haya un precio medio en una colonia, cada vivienda cuenta con particularidades que podrían incrementar o disminuir el valor.El porcentaje se ofrece solo como una guía y podría no reflejar el valor particular de la propiedad.Regresar a la propiedadVer estadísticas, NA, NA, NA","NA","NA","MXN","4","3","2",NA,"39","120","251",NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Carlos Hank Gonzalez$ 15.47 mil MN","15.47, Precio promedioEste porcentaje muestra el valor de la propiedad con respecto a la tendencia de los precios de la zona.Aunque haya un precio medio en una colonia, cada vivienda cuenta con particularidades que podrían incrementar o disminuir el valor.El porcentaje se ofrece solo como una guía y podría no reflejar el valor particular de la propiedad.Regresar a la propiedadVer estadísticas, NA, NA, NA"
"Acanto  #73, Colonia Miguel Hidalgo 4A Sección, C.P. 14250 ","Acanto  #73","14250","Casa","Tlalpan","DF / CDMX","4,100,000 ","27603488","-99.21121629999999","19.2726174","Amplia casa recién remodelada, excelente ubicación al sur de la cdmx
se vende amplia y hermosa casa ubicada en la colonia miguel hidalgo 4a sección c. 14250, df / cdmx. la propiedad cuenta con una superficie de 280 metros construidos y tiene 10 años de antigüedad. excelente casa recién remodelada con grandes espacios, donde puedes convivir y pasar momentos muy amenos. ubicada a 5 min. de six flags y con un acceso fácil y rápido a la carr. picacho. casa con 5 recámaras muy amplias, la principal con tina de hidromasaje y walking closet, closet normal y cuenta con una amplia terraza que le brindan un ambiente agradable y relajante. sala y comedor muy bien distribuidos con baño completo para visitas, cuenta con almacén para despensa muy práctico. tendrás la tranquilidad y seguridad de guardar hasta 4 autos grandes en su garaje, además cuenta con estudio/oficina independiente con baño completo. cisterna y celdas solares que podrán apoyarte en tu economía.
¡te invito a conocer esta hermosa casa!
¡una excelente oportunidad para adquirir una propiedad lista para habitar!","RECÁMARAS5 , BAÑOS4 , ESTACIONAMIENTOS4 , No. de pisos2 , Edad del inmueble10 años, ÁREA TERRENO193 m2, ÁREA CONSTRUIDA280 m2, NA, NA","Cisterna, Telefonía, Mascotas, Gas Natural, Terraza","Precio por/m2 promedio en Miguel Hidalgo 4A Sección, $ 16.57 mil MN","LEROY","SOLUCIONES PATRIMONIALES","MXN","5","4","4","2","10","193","280",NA,NA,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Miguel Hidalgo 4A Sección","16.57"
